Question_ID,Question,Selections,Answer,Explanation
30,医务社会工作者小同发现，因现实中的人际关系问题，部分抑郁症患者的病情时好时坏，影响工作和生活 。为此 ，他开设了“友你同行 “小组 ，邀请组员以角色扮演的形式再现人际冲突问题及其应对方式 ，并在小组中推动组员互动 ，缓解人际关系紧张 ，构建互助 、 支持的和谐人际关系 。组员在小组中获得的成功经验可以协助其在小组结束后调整人际交往模式 ，改善人际关系 。这一小组运用的小组模式是 （）,A. 发展模式 B. 互动模式 C. 治疗模式 D. 社会目标模式,B,"本题考查的是小组的模式。社会目标模式运用于社区发展项目或领域,注重社会责任和社会变迁,注重公民参与解决社会问题,强调培养公民的社会责任、社会参与和社会行动。互动模式关注有需要群体,焦点在于互动关系及其效果。组员之间、组员与小组和社会系统之间开放、良性互动;组员之间地位平等;面对面沟通、协商、讨论。治疗模式,针对行为失范或有特定问题的人,旨在治疗和解决问题,改变行为;发展模式针对困难人群、面临危机人群、寻求自我发展人群,旨在解欢和预防社会功能衰竭问题,恢复和发展社会功能。依据题干,“推动组员互动“,“构建互助、支持的和谐人际关系“,符合互动模式,故选B。"
31,社会工作者小周在社区开展青少年交友技能小组 。在某节小组活动中，她邀请组员一起参加 “心花朵朵开” 的游戏 。组员手拉手围成一圈 ，小周站在圆圈中说 “春天到 ，百花开” ，这时组员问 “开什么花” ，在小周回答一种花后，组员接着问 “开几朵”，小周回答几朵时 ，组员就按所说的数字组队 ，未能成功组队的组员向大家介绍自己 。上述情境 ，最有可能出现的小组阶段是 （）。,A. 准备阶殴 B. 开始阶段 C. 转折阶段 D. 成熟阶段,B,"本题考查的是小组工作过程。小组开始阶段,社会工作者的任务包括:(1)协助组员间认识消除陌生;(2)强化组员对小组期望,提高其对小组目标的认识;(3)讨论保密原则和建立契约;(4)制定小组规范;(5)腊造信任的小组气氛;(6)形成稳定的小组关系结构。依据题干,社会工作者设计破冰游戏,“组员向大家介绍自己“,属于开始阶段的任务。故选B。"
32,医务社会工作者小李为轻度认知障碍者开设教育小组，旨在帮助他们正确认识认知症，学习应对疾病的技能 ，减缓认知症的发展速度 。下列活动中 ，最适合安排在小组结束阶段的是 （）。,A. “大家一起说故事”：根据自己的画像分享生命故事B. “我爱记歌词 “，根据栋几句歌词 ，说出歌曲的名字C. “最佳人缘奖 “：，分享其他组员对自己的安慰和帮助D. “蒙眼画五官 “：组员之间合作画出脸的轮廓和五官,C,"本题考查的是小组工作的结束阶段。小组的结束阶段是小组的完结期,已达到预期目标,也是小组历程的最后阶段。社会工作者需要:(1)处理组员的离别情绪与感受;(2)协助组员保持小组经验;(3)做好小组评估。“最佳人缘奖“帮助组员回顾并分享在小组中得到的安慰和帮助,适合安排在结束阶段,故选C。"
33,在某节面向社区残障人士开设的支持性小组中，组员在小组中都能敞开心扉，坦然分享自己过去的经历，并且学会了用积极的态度面对挫折，大家纷纷表示愿意参加下一次小组活动 。在这一小组阶段 ，社会工作者应采取的工作策略是 （）。,A. 适当控制小组的进程 B. 营造小组信任的氛图C. 维护小组的良好互动 D. 弱化小组的关系结构,C,"本题考查的是小组工作过程中社会工作者的任务。当小组处于成熟阶段时,小组疑聚力增强、组员关系更亲密、组员对小组充满信心和希望、小组关系结构趋于稳定。依据题十“组员在小组中都能敞开心康,坦然分享自己过去的经历“描述可知,为小组成熟阶段,维持小组艮好互动是小组成熟阶段社会工作者的任务之一,C选项正确。A选项“控制进程“属于中期转折阶段,B选项“营造信任氛围“属于开始阶段,D选项“弱化关系结构“属于结束阶段。故选C。"
34,“通过讨论大家认识到，自身和周边的力量来源，包括别人的信任和鼓励，家人的爱和朋友的陪伴” 上述社会工作者所运用的小组工作技巧是 （）,A. 示范引导   B. 及时进行小结C. 对信息进行磋商 D. 帮助组员相互理解,B,"本题考查的是小组工作中“沟通与互动的技巧“。(1)示范引导:属于“促进组员沟通的技巧“,是指在沟通的过程中,社会工作者可用目身示范的方式,引导组员模仿。比如,提名的技巧,以及给予回馈的方式等。(2)及时进行小结:属于“与组员沟通的技巧“,是指对组员发言中散乱表达的信息进行小结,社会工作者要及时帮助小结,如通过若干要点的归纳,简明扼要地复述组员发言中的主要观点和重要信息,使其具有条理性和逻辑性。(3)对信息进行磋商,属于“与组员沟通的技巧“,是指当无法把提组员发言中的信息含义时,社会工作者有必要耐心地与发言者协商交流,直到信息能够被正确了解和取得共识。(4)帮助组员相互理解:属于“促进组员沟通的技巧“,是指在沟通时,要密切注意和观察组员的声调、语言、表情、态度和姿势等细微之处,帮助组员沟通和理解信息不一致和不明白的地方。依据题干可知,社会工作者的话是对组员的讨论作总结,故选B。"
35,在 “伴你无碍 “助残志愿者成长小组中，社会工作者带领组员一起讨论助残服务技巧 。组员老韩说 ：“这类服务稍不留神就会引起冲突 。有一次我背对着一个聋人说话 ，就被他误解为我在说他的坏话 。我跟他比画了半天 ，他也不知道我在说什么 。太难了！” 社会工作者说 ：“感谢老韩说了你的经历 ，我还是想让大家说说在服务当中有什么好办法 ？” 上述社会工作者的回应 ，运用到的技巧是 （）。,A. 聚焦 B. 澄清 C. 限制 D. 催化,C,"本题考查的是小组讨论技巧。(1)聚焦:当小组讨论出现话题游离、多元和分散的情况时,社会工作者采取丘焦的手段协助组员将话题、讨论范围、内容或者问题集中,指出重心和目标所在,再继续讨论。(2)澄清,当组员陈述内容不清楚或忽略某些议题时,社会工作者运用该技巧引导小组组员对模糊不清的陈述和信息作更详细、更清楚、更准确的表达和解说,使沟通信息能够清晰,也能使小组组员自我了解。(3)限制:当一些小组组员垄断小组讨论时,或当组员的发言太抽象时,或当小组讨论脱离主题范围时,社会工作者要采取限制的手段来处理组员的行为。这里的限制手段包担:社会工作者用“是不是“的言辞问询其他善于发言的组员或者其他未发言的组员;及时切断话题,给予适时的打岔;也可以限定发言时间,或者调整发言的次厌。(4)催化:小组动力不足时,社会工作者推动组员之间进行明确而直接的互动,促进小组成员的沟通,增进小组成员之间互动的质量,营造小组间的信任和温暖,促使组员为小组发展承担更多的责任。依据题干,社会工作者“带领组员一起讨论助残服务技巧“,虽然老韩分享了自己的经历,但与讨论话题无关,社会工作者“还是想让大家说说在服务当中有什么好办法?“将主题再次引导回来,属于“限制“技巧。故选C。"
36,社会工作者拟为辖区 12 岁至 16 岁困境儿童开设主题为 “心手相牵，同心童行 “小组 ，目的是增强困境儿童自信心 ，提升其人际交往能力 。在开展小组需求评估的过程中 ，下列社会工作者的理解正确的是 （）。,A. 小组需求评估的重点必须聚集于小组组员现在发生的问题B. 小组需求评估可采用标准化量表 ，对组员作出诊断性判断C. 小组需求评估需考虑小组整体需求 、 组员需求和小组环境需求D. 小组需求评估应该采用单一的资料收集方法以保证准确性,C,"本题考查的是社会工作中的小组需求评估。在小组需求评仿中,必须考虑的因素有:小组整体需求、组员的需求和小组的环境需求(C选项正确)。在需求评估时,一般需要注意以下几点:第一,利用多种渠道收集资料,以保证资料的客观性和准确性(D选项错误);第二,避免在需求评估中给组员贴上诊断性标签,特别是在使用一些标准化量表时,尤其要注意这一点(B选项错误);第三,明确评估重又,在某些小组中,应该将评估重点放在现在,而在另一些小组中,评估重点既放在现在又关注过去,这完全取决于小组的性质(A选项错误)。故选C。"
37,社会工作者在儿童友好社区建设中，除要关注社区儿童活动设施 、 场地的建设，更重要的是应关注儿童对社区的认识，引导其参与社区事务，鼓励其承担社区责任，培养其成长为具有社区关怀精神的新一代 “社区人” 。下列关于社区工作目标的说法 ，正确的是 （）。,A. 社区工作的过程目标应更加具体 、 明确且实际B. 社区工作的最终理想是帮助社区建立集体能力C. 社会工作的过程目标与任务目标在实践上完全契合D. 促进社区居民参与社区建设是社区工作的任务目标,B,本题考查的是社区工作的目标。(1)任务目标: 指解决一些特定的社会问题，包括完成一项具体的工作和服务，满足社区需要，达到一定的社会福利目标等，是具体而实在的，如修桥铺路、解决老旧小区停车难问题、安置无家可归者、照顾贫穷孤寡残障人士等。（2）过程目标：指在达到任务目标的过程中实现的中间目标，主要是指培养社区居民的一般能力，如增强居民解决社区问题的能力、信心和技巧，提升其对公民权利和义务的认知能力，培养居民与社区邻里交流、协商与合作的能力，发掘和培育社区骨干的领导能力等。任务目标是解决社区问题，过程目标是强调人的发展，最终理想是要帮助社区建立集体能力，通过群策群力的方式，促进社区的根本改变，社区居民的成长和进步是核心和长远的任务。故选B。
38,某社区周边有几处野草伊生的空地，堆满了杂物和垃圾，居民要求整治的呼声较高 。为此 ，社会工作者小李邀请物业公司和居民代表进行议事协商 ，共同设计了空地整治和美化方案 ，并动员居民一起参与杂物清理 、 花草种植和后期认养 ，以及花园维护制度建设 。从地区发展模式的角度看 ，小李在上述工作过程中所扮演的角色是 （）。,A. 顾问 B. 协调者 C. 技术专家 D. 方案实施者,B,"本题考查的是地区发展模式中社会工作者的角色。包括:(1)使能者;(2)教育者;(3)中介者;(4)协调者。B选项正确。A选项属于社区照频模式的角色,C、D选项属于社会策划模式的角色。故选B。"
39,社区社会工作者老李走访了辖区 40 余位失能失智老人的家庭，评估了老年人的能力 ，请家庭照顾者填写了《 照顾者负担量表 》，并对负担程度是 “中度 “和 “重度 “的家庭照顾者进行重点关怀 。老李链接专业护理机构和社区志愿服务团队资源 ，组建了护理人员与志愿者组成的服务小组 ，配对支援重点家庭 ，提供规范和可持续的喘息服务 。上述开展的服务 ，老李运用的社区照顾实施策略是 （）。,A. 由社区照顾 B. 正式照顾 C. 非正式照顾 D. 对社区照顾,D,"本题考查的是社区照顾模式的实施策略。(1)由社区照顾:由冠际、亲友、邻里、志愿者所提供的照顾和服务。(2)正式照顾:政府部门、非营利的社会组织和市场上的营利性机构。(3)非正式照顾:由服务对象的家人、朋友、邹居来承担。(4)对社区照顾:强调正式照顾和非正式照顾相融合的重要性。依据题干,老李“组建了由护理人员与志愿者组成的服务小组“,“医护人员“属于正式照顾;“志愿者“属于非正式照顾,故选D。"
40,社会工作者计划在某社区开展专业服务 。他们通过走街串巷 ，了解社区周边的医院 、 学校 、 便利店和公共交通车站等情况 。社会工作者这样做的目的是 （）。,A. 分析社区的人口结构 B. 分析社区的人力资源C. 分析社区的地理环境 D. 分析社区的权力结构,C,"本题考查的是认识社区的任务一一“社区基本情况分析“:(1)社区内的人口状况:社区内的总人口数、性别比例、年龄分布、居住群体的特征;(2)社区内的资源:社区里的公共设施、教育机构、医疗单位、社区组织、金融机构、商业场所(3)社区的地理环境:区位与边界、环境设计与土地使用、交通、基础设施、社会服务、商业服务和经济等;(4)社区内的权力机构:社区内各组织的情况,访问社区居民、拜访社区居委会主任、参与社区内的重要会议和活动。依据题干,“了解社区周边的医院、学校、便利店和公共交通车站等情况“属于了解社区的地理环境,故选C。"
41,某社会工作服务机构承接了民政部门委托的 “社区会客厅 “建设项目 。为了推进项目实施 ，机构负责人拜访了项目拟落地社区的居委会主任 ，向其介绍机构和项目概况 ，也询问了居委会工作团队的情况 ，期望得到支持 。通过交谈 ，机构负责人认为该居委会主任性格开朗 、 事业心强 、 基层工作经验丰富 ，愿意尝试新事物 。双方沟通顺畅 ，对未来合作充满信心 。从建立和发展社区关系的角度看 ，机构负责人上述活动的重点是（）。,A. 了解对方组织运作情况 B. 分析两个组织之间关系C. 寻找各自可获得的利益 D. 强化规范双方合作关系,A,"本题考查的是建立和发展社区关系的技巧。(一)了解各类组织的运作情况。(1)了解组织内部运作的因素;(2)了解其正式(外显)的模式,即明文规定、有组织、目标、结构的运作模式;(3)注意观察其非正式(内隐)模式,通过工作气氛和行事风格而体现出组织文化属于非正式(内隐)模式的要素;(4)了解组织内部有影响力、关键人土及主要成员。(二)分析组织间关系。包括交换关系、权利依赖关系、授权式关系。(三)把握组织间交往准则。包括组织间交往一般准则、组织间交往特殊准则。(四)应用组织接触技巧。包括注意组织形象的平衡和统一;增加接触的机会:求同存异,加强沟通。依据题一,“拜访了项目拟落地社区的居委会主任,向其介绍机构和项目概况“,“认为该居委会主任性格开朗、事业心强、基层工作经验丰富,愿意尝试新事物“,故选A。"
42,某街道社工站策划了 “共享园艺，爱我社区 “居民骨干培养项目 ，旨在社区组建一支居民骨干队伍 ，带领居民 “装点小楼门 ，美化大社区 “。社会工作者在培养居民骨干时 ，一般会从态度 、 知识和行为三个方面促进居民骨干的成长和进步 。下列做法中 ，能够促进其知识改变的是 （）。,A. 协助居民骨干强化社会互助价值观 B. 帮助居民骨干提高分析问题的能力C. 指导居民骨干学会表达关怀的方法 D. 教导居民骨干练习主持会议的技巧,B,"本题考查的是社区教育的目标。社区教育的目标是培养和塑造有知识、有能力、以社区发展为己任的优秀居民。因此,必须在态度、知识和行为3个方面促进社区居民的改变和进步。(1)态度方面:促进社区居民或服务对象形成积极正向的价值观。社区工作者可从感觉、直觉、想象、判断和兴趣等方面引导社区居民,关注居民权益、社会互助、社会公平与正义等核心价值,并通过行动-反思的方法不断澄清价值观,帮助他们通过社区参与,由冷漠、消极、被动转向热情、积极、主动。(2)知识方面:帮助社区居民或服务对象提升理性思考能力。包括掌握社区生活或共同问题的知识及资料;理解资料之间的相互关系,并能批判地分析问题;在掌握和理解资料的基础上能够触类旁通;在正确分析、评估问题的基础上提出创新性建议。(3)行为方面,对于社区领袖或带头人而言,应熟练掌握与群众沟通的技能,善于表达对他人的关怀与爱护。能够理解文件和有关资料,懂得行政和会议技巧,拥有社会行动和基层动员的能力、具备谈判、游说、公关及与大众传媒司作的能力。对于一般的社区居民而言,应掌握公开演讲、请愿、谈判、游说的技巧。A选项“强化价值观“属于态度方面;B选项“提高能力“属于知识方面;C选项“指导方法“、D选项“教导技巧“,属于行为方面。故选B。"
43,某社区业主委员会换届选举面临难以达到法定最低投票率的情况 。为了确保足够多的居民参与投票 ，社会工作者小张努力协助居委会积极开展居民动员工作 ，但仍然无法与近一半的居民取得联系。接下来 ，小张最适宜采用的动员方法是 （）。,A. 给每个社区居民发信件 B. 逐门逐户当面进行说明C. 在居民家门口张贴通知 D. 在社区的中心花园喊话,B,"本题考查的是动员群众的技巧。直接接触途径包括:(一)已知居民的姓名及联络方法:(1)信件:需要注意群众受教育程度;(2)家访:需要花费大量人力和时间建立联系;(3)电话联络:适用交代具体简单的信息,如开会时间、地点等。(二)不知道居民的姓名及联络方法:(1)街头宣传站;(2)逐户拜访;(3)户外喊话;(4)召开居民大会。间接接触途径以大众传媒手段为主。根据题干,选举投票存在的问题是投票率低,“无法与近一半的居民取得联系“,此时社会工作者需要考虑动员居民参与事务是否已经引起居民广泛关注,因此最佳办法是逐门逐户当面进行说明,邀请和鼓励对方参加。这样可以直接与居民沟通,了解他们的想法和需求,增加他们的参与意愿和信任感。故选B。"
44,下列关于社会服务方案策划的说法，正确的是 （）。,A. 策划分为问题分析 、 需求评估 、 方案制订 、 行动计划四个阶段B. 策划由选择最有效的行动策略和设计具体的服务构想两部分组成C. 确定理想可行方案后 ，就可决定资源总需求并进行资源争取工作D. 在制订行动计划过程中要讨论多种可行方案 ，并分析限制性因素,C,"本题考查的是社会服务方案的策划。社会服务方案的策划分为4个阶段:问题的认识和分析阶段、目标制定阶段、方案安排阶段、考虑服务的评估阶段(A选项错误)。社会服务方案策划一般由评估服务对象的需要、建立具体的服务目标、选择最有效的行动策略、设计资源的筹集与分配方案以及向服务对象提供服务的构想组成(B选项错误)。策划者确定理想、可行的方案后,就可以决定资源的总需求并进行资源的争取工作(C选项正确)。制订行动计划过程中,方案制订者主要是讨论多种可行的方法,清晰地描述出各种限制,甄别郧些服务是可行的、有效率的,能有效满足服务对象需要的。这个阶段要尽可能地列出多种可能提供的服务方案(D选项错误)。故选C。"
45,社会工作者老范负责服务社区精神障碍康复者 。她除了有计划开展个案辅导 ，面向家庭照顾者开展小组服务外 ，还组建社区志愿者队伍定期探访服务对象 。她所在的社会工作服务机构负责人认为老范是位具有高度自主性且能力强的员工 ，应对其进行激励 ，下列负责人最适宜的做法是 （）。,A. 转换工作岗位 B. 增加工作量C. 激发工作动机 D. 工作再设计,D,"本题考查的是社会服务机构的激励措施。包括,(1)了解员工的个别差异。(2)用目标引导员工,增进其对工作的兴趣。(3)提供员工参与决策的机会。(4)协助员工制订职业生涯发展计划。人们的态度、人格和其他个人表现具有差异性,因此,管理者要充分认识这种差异,要尽可能根据个人的特点分配工作。例如,让那些既有能力又有意愿的成熟员工承担更多或更重要的工作;通过工作内容的扩展,降低员工对工作的倦怠;对于那些具有高度自主性和足够能力的员工,可以重新设计工作职位,让他们能够有更高的自主性自行决定工作的方法和步骤,由此来满足员工的高层次需求和提高其工作动力。依据题干“机构负责人认为老范是位具有高度自主性且能力强的员工“,可以利用重新设计工作职位,激励和提高她的工作动力。故选D。"
46,社会工作者在某社区深人开展助老服务，组建了多方参与的志愿服务队伍，并进行管理 。在志愿服务人力资源管理的规划中 ，社会工作者评估志愿者队伍现状 ，设定中长期发展目标 ，制订了服务方案 。接下来 ，社会工作者还需开展的规划工作是 （）。,A. 编制志愿服务预算 B. 编写志愿服务说明书C. 起草志愿服务章程 D. 制定志愿服务伦理宇则,A,"本题考查的是志慈服务人力资源管理的“规划“职能。“规划“包括：(1)了解机构对人力资源需求的方向,调查所需要的人力及目前志愿者参与动机和形态;(2)根据机构的宗旨规划志愿者方案;(3)设定长期、中期、短期的阶段性志愿者发展及管理目标;(4)编列志愿者预算,募款,财务管理;(5)宣传,创新方案,区域网络的联系等组织。依据题干,社会工作者已经完成了现状的评估、目标的制跋、方案的制订,故接下来还需要编制预算和进行宣传等,故选A。"
47,某社会工作服务机构培育了一支志愿服务队为社区残障人士提供服务 。为提升服务成效 ，社会工作者进行了志愿者人力资源管理 。下列做法中 ，属于 “控制 “职能的是 （）。,A. 加强对志愿者投身服务和奉献社会事迹的宣传B. 召开座谈会 ，商讨志愿者团队的年度培训方案C. 建立志愿服务的多项评估指标 ，定期开展成效评估D. 梳理机构对志愿服务的需求，了解志愿者参与动机,C,"本题考查的是志愿服务人力资源管理的“控制“职能。“控制“包括：(1)建立志愿者工作评估标准和方法;(2)志愿者基本资料建档;(3)志愿者需求及满意度评估。“控制“要求.(1)做好记录,如服务次数、出勤状况、评估方面、由谁评估;(2)服务时数登记、参加训练记录等,作为下年度计划参考的标准。A选项“宣传“、D选项“了解动机“属于规划职能;B选项“座谈会、培训方案“属于组织职能;C选项“建立评估指标“属于控制职能。故选C。"
48,标社会工作服务机构本年度预算为 100 万元 ，计划在来年开展新项目 。在制订来年财务预算时 ，理事会讨论决定以 100 万元作为基础 ，渐进提高预算金额 ，规划预算金额为 120 万元 。上述机构制订财务预算所采用的方法是 （）。,A. 单项预算法 B. 直线预算法 C. 方案预算法 D. 零基预算法,A,"本题考查的是社会服务机构的财务管理中的财务预算的方法。(1)单项预算法是社会服务机构最基本的也是最常用的预算方法。它以当年的预算作为规划来年预算的基准,以渐进的方式为基础规划来年的预算。(2)方案预算法。以柄项活动或项目为基础,根据方案的需要,列明各项开支和资源设备等,编成的预算方案。(3)零基预算法。以没有钱为出发点,根据机构未来的实际需要进行预算。依据题一,“本年度预算为100万元““在制订来年财务预算时,理事会讨论决定以100万元作为基础” 可知A选项正确。故选A。"
49,为了展现公信力，某社会工作服务机构在 2022 年的年度报告中 ，除了说明机构履行社会责任和义务的情况 、 机构内部组织结构建设 、 社会工作者的持证状况和工作表现以及年度财务报告等内容外 ，还应包括 （）。,A. 政治交代 B. 服务交代 C. 行政交代 D. 专业交代,B,"本题考查的是社会服务机构公信力的展示。(1)财政交代,主要是向提供或赞助服务经费的政府、基金会、捐款人提供财政报告,证明资金使用的适当性和效益;(2)政治交代,主要是向立法和权力机构、社会媒体交代机构履行社会责任和义务的情况;(3)专业交代,机构要证明其聘用的社会工作者在服务中遮守社会工作守则、坚守专业操守并提供了达到良好专业水平的服务;(4)服务交代,社会服务机构不仅要向服务对象提供服务,而且要提供令其满意的服务,而服务对象满意度的评估不但要反映问题的解决程度,也要证明服务是在机构内部严谨的行政监督、专业督导下提供的;(5)行政交代,主要说明机构内部管理制度和程序的正常运作,包括向理事会、管理人员和前线工作人员等作交代。依据题干,“机构履行社会责任和义务的情况“属于政治交代;“机构内部组织结构建设“属于行政交代;“社会工作者的持证状况和工作表现“属于专业交代;“年度财务报告“属于财政交代;缺少“服务交代“。故选B。"
50,经过多年实践探索，我国社会福利行政体系的运行方式呈现出多元主体互动的局面，其特点也在发生变化 。关于我国社会福利行政体系的特点 ，下列说法正确的是（）,A. 社会政策对象在参与政策过程中表现被动B. 社会服务机构能够直接主导社会福利提供C. 自上而下的政策主导模式限制了专业化发展D. 逐渐形成政府主导下的政府与社会合作方式,D,本题考查的是我国社会福利行政体系的特点。我国社会福利行政体系的特点主要表现在以下3点:(1)强调科学发展观和“以人为本“的执政理念;(2)从政府主导向政府一社会合作的社会福利行政模式发展;(3)社会福利行政的专业化。故选D。
51,某区 5 个街道社工站的负责人都具有丰富的一线服务经验，他们每月定期开会，轮流组织督导活动，就所遇到的专业服务和管理议题进行讨论，互相激励 ，彼此借鉴 ，形成有价值的工作策略 。该督导方式是 （）。,A. 集体督导 B. 团体督导 C. 个别督导 D. 同辈督导,D,"本题考查的是社会工作督导的方式。(1)个别督导;最传统的督导方式,由一名督导者对一名被督导者用面对面的方式,定期、定时(每周或每两周一次,每次半个小时至一个小时)举行讨论。另外视情况需要,也会有一些不定期的督导会议。(2)团体督导;一名督导者和数名被督导者以小组讨论方式,定期举行讨论会议。(3)同辈督导:指具有相同需求、观点或技术层次的个人和一群社会工作者,通过个别互惠方式或团体讨论方式进行互动的过程。依据题干,“5个街道社工站的负责人““每月定期开会,轮流组织督导活动“作现同辈督导的内涵,故选D。"
52,社会工作者小林在为某困境儿童家庭服务时，孩子的奶奶因为小林没有给予她家物质帮助，对他十分冷淡，甚至恶语相向，还不断投诉他 ，导致小林在社区开展工作时困难重重 。小林觉得自己不被理解 ，很委屈 ，向督导者老张求助 。老张帮助小林分析了孩子奶奶的个人成长历程 、 情绪和认知状况 ，讲解了如何与服务对象建立专业关系的方法和技巧 。从教育性督导的内容看 ，老张教导的是 （）。,A. 工作过程知识 B. 社会问题知识C. 情绪管理方法 D. 时间管理方法,A,"本题考查的是教育性督导的内容。包括:(1)教导有关“服务对象群“的特殊知识;(2)教导“社会服务机构“的知识;(3)教导有关“社会问题“的知识;(4)教导有关“工作过程“的知识;(5)教导有关“工作者本身“的知识;(6)提供专业性“建议和咨询“。依据题干,“老张帮助小林分析了孩子奶奶的个人成长历程、情绪和认知状况,讲解了如何与服务对象建立专业关系的方法和技巧“,体现了教导有关“工作过程“的知识。故选A。"
53,下列督导情境中 ，体现支持性督导的是 （）。,A. 督导者为督导对豫讲解服务提供中如何体现专业元素B. 督导者和督导对象讨论与村委会主任建立关系的技巧C. 督导者向督导对象了解服务进度及过程中遇到的困难D. 督导者让督导对象回顾服务对象对其表达感谢的话语,D,"本题考查的是支持性督导的内容。支持性督导指的是,通过提供压力疏导和情感支持,激发督导对象的工作热情,腊造安全和信任的工作氛围,提高督导对象的工作成就感、自我价值感和专业归属感。包括:疏导情绪;给予关怀;发现成效;寻求满足。依据选项,D选项,“回顾服务对象对其表达感谢的话语“体现教育性督导的“发现成效“,正确。ABC均属于教育性督导。故选D。"
54,高级社会工作师老李受某街道邀请，对 5 位持有助理社会工作师证书的居委会委员进行督导，期望提高社区工作者的能力 。老李在首次会谈中发现他们基层工作经验丰富 ，处理了不少复杂问题 ，但也因为行政任务工作量大且要求高而多有抱怨 ，工作成就感低 。通过交流 ，老李找到了督导起始点 ，下一步老李适宜开展的工作是 （）。,A. 增进彼此之间熟悉感 B. 清晰双方角色和期待C. 分享经验和答疑解惑 D. 回顾学习和成长过程,B,"本题考查的是社会工作督导的一般过程。包担:(1)督导刊期:督导前期是督导者与被督导者建立关系的基础期,这一时期最重要的任务是相互熟恬。督导者在这个时期一般通过直接面谈了解被督导者的家庭、所受专业教育、工作经验、以往的经历等,督导者通过了解被督导者的处境找到督导的起始点,简单明白地讽明自己的工作方法和目的,让被督导者放松心情、接受督导。(2)开展期:开展期的重要任务是建立互相信任和双方同意的督导形式,并以口头或书面的形式确定。(3)工作期:工作期是督导历程的最重要阶段,在这一阶段,督导者要与被督导者分享实跋经验与感受,解疑释惑,指导工作,促进其发展,支持被督导者做好服务。(4)终结期:督导历程结林时,督导者应总结督导过程中各个阶段所讨论过的事情,并综述被督导者的学习过程和成长过程,回顾被督导者的长处和弱点,帮助被督导者更加清醒地把握自我,加强自我改进。依据题一,“通过爻流,老李找到了督导起始点“说明督导前期任务已经完成,将进人下一阶段“开展期“,B正确。A选项属于督导前期;C选项属于工作期;D选项属于终结期。故选B。"
55,社会工作者小颜正在对家庭暴力中的施暴者进行个案辅导 。机构督导者老林在每次督导会谈中都详细了解小颜的服务进度和面临的困难 ，及时发现问题并与小颜共同史对 ，寻求解决办法 。从社会工作者督导过程看 ，老林所运用的技巧是 （）。,A. 分享感受 B. 开展话题 C. 相互契合 D. 订立协议,C,"本题考查的是社会工作督导过程中的技巧。(1)同感与分享感受的技巧:当被督导者谈到感受时,督导者要勇于面对,并能够就被督导者的处境纷予目然回应。督导者应能总结骷督导者所面对的问题,这样才能使他知道你了解他的处境和感受。(2)开展话题技巧:采取5类技巧鼓励被督导者提出并探讨问题。一是由简人难。二是包容。三是专注地聆听。四是提问。五是保持沉默。(3)相互契合技巧:指督导者在每次督导中都要用一定的时间了解和关心被督导者的处境,并表示关心。相互契合的重点在于寻求问题和面对要处理的问题。督导者勇敢地和被督导者共同面对,商量解决的办法,并在督导过程中公开提出,还要及时处理被督导者在讨论过程中的怨气和背后的苦衷。(4)订立协议技巧:这里的协议是指每次督导时所订立的协议。尺管督导者与被督导者已经就督导的整体、历程、目标和互相的角色订立了协议,但每次督导时应再为这次督导订立协仕,将督导双方的要求和期望不断更新,并回顾上次的协议,根据督导的阶段和需求进行适当修正。依据题干,老林“详细了解小颜的服务进度和面临的困难,及时发现问题亘与小颜共同面对,寻求解决办法“体现了相互契合技巧。故选C。"
56,社会工作者小郑计划研究留守女童自我保护能力建设项目的干预效果 。下列研究功能中 ，属于服务对象层面的是 （）,A. 促进儿童保护理论的实践运用 B. 丰富留守女童自我保护的知识C. 倡导社会关注留守女童的权益 D. 总结反思项目实施过程的不足,B,"本题考查的是社会工作研究的主要功能。包括:(1)直接功能,对象层面一一治疗和预防社会问题乃至社会危机,并协助服务对象在能力和意识层面得以提升。专业层面一一改善社会工作实践和提升社会理论。社会层面一一推进福利和促进公正。(2)间接功能:有助于感受社会现实、有助于了解社会工作内禅、有助于实现自身增能、有助于激发多个系统的正面功能。A选项“理论实践运用“、D选项“反思不足“属于专业层面,C选项“倡导权益“属于社会层面,B选项“丰富知识“属于服务对象层面。故选B。"
